138-->143:UNSAT, time: 0.932863950729
85-->77:UNSAT, time: 48.7682077885
185-->50:SolFound, time: 99.0305759907
139-->143:SolFound, time: 32.0843420029
127-->29:UNSAT, time: 43.766931057
1-->93:UNSAT, time: 17.0135560036
4-->93:SolFound, time: 7.74552512169
2-->93:UNSAT, time: 20.2227230072
79-->183:UNSAT, time: 1.99690699577
1-->144:SolFound, time: 15.1838550568
140-->143:SolFound, time: 35.8921170235
2-->3:SolFound, time: 12.9107849598
28-->29:SolFound, time: 95.7534141541
51-->48:UNSAT, time: 0.960167884827
140-->144:SolFound, time: 37.0462651253
80-->183:UNSAT, time: 35.224848032
125-->48:UNSAT, time: 32.1255998611
138-->142:SolFound, time: 47.5372271538
57-->48:UNSAT, time: 15.5149080753
59-->48:UNSAT, time: 1.00638198853
58-->48:UNSAT, time: 2.94962978363
90-->48:UNSAT, time: 27.3378589153
79-->182:UNSAT, time: 4.3270111084
80-->182:UNSAT, time: 1.11234784126
82-->182:UNSAT, time: 2.94783306122
184-->182:SolFound, time: 9.33784198761
61-->48:SolFound, time: 25.9295299053
125-->71:UNSAT, time: 1.10029387474
51-->71:UNSAT, time: 0.924402952194
56-->71:UNSAT, time: 1.03375697136
116-->49:SolFound, time: 24.1220829487
58-->71:UNSAT, time: 1.05152606964
56-->48:UNSAT, time: 54.1524958611
60-->71:UNSAT, time: 2.05142784119
59-->71:UNSAT, time: 3.03273296356
80-->123:UNSAT, time: 1.03800797462
90-->66:UNSAT, time: 1.04809784889
57-->71:UNSAT, time: 9.54127812386
125-->66:SolFound, time: 13.8811788559
90-->71:UNSAT, time: 36.4169549942
70-->65:SolFound, time: 12.6272602081
60-->49:SolFound, time: 78.4307568073
60-->48:SolFound, time: 96.4936499596
91-->65:SolFound, time: 2.92351412773
69-->65:SolFound, time: 68.3602459431
90-->65:UNSAT, time: 42.5061910152
111-->112:UNSAT, time: 0.890360832214
108-->112:UNSAT, time: 15.3604819775
127-->112:SolFound, time: 40.076499939
101-->109:UNSAT, time: 11.9748370647
33-->109:UNSAT, time: 21.2288310528
36-->109:UNSAT, time: 28.4358811378
108-->109:UNSAT, time: 10.0263500214
111-->109:UNSAT, time: 3.00361084938
102-->109:UNSAT, time: 16.1986718178
102-->139:UNSAT, time: 0.97291302681
134-->139:UNSAT, time: 4.73593306541
135-->139:SolFound, time: 31.4125871658
117-->185:SolFound, time: 35.893862009
141-->1:UNSAT, time: 5.96391797066
137-->140:SolFound, time: 10.5939490795
136-->139:SolFound, time: 52.0349030495
141-->140:SolFound, time: 13.350632906
141-->2:UNSAT, time: 6.72934699059
35-->28:UNSAT, time: 1.02149605751
38-->28:UNSAT, time: 12.089605093
