25-->61:UNSAT, time: 1.27128505707
51-->67:UNSAT, time: 13.6446709633
27-->61:SolFound, time: 2.97127699852
28-->61:UNSAT, time: 6.20582699776
26-->61:UNSAT, time: 21.9170188904
71-->56:UNSAT, time: 3.50081205368
70-->56:UNSAT, time: 32.149116993
87-->56:UNSAT, time: 79.2035989761
86-->56:SolFound, time: 193.185173035
26-->56:UNSAT, time: 1.22826099396
88-->56:SolFound, time: 106.730689049
70-->29:UNSAT, time: 16.9581091404
30-->31:SolFound, time: 1345.58168507
28-->29:UNSAT, time: 1.24392223358
26-->29:UNSAT, time: 68.0994729996
84-->12:UNSAT, time: 2930.55116582
25-->29:UNSAT, time: 269.112277985
33-->34:SolFound, time: 332.397599936
26-->44:UNSAT, time: 165.379546881
28-->44:UNSAT, time: 1.27118897438
14-->55:UNSAT, time: 1.22455787659
16-->55:UNSAT, time: 2.29128408432
19-->55:UNSAT, time: 5.52571296692
85-->55:UNSAT, time: 7.6656229496
43-->34:SolFound, time: 507.56714201
51-->0:UNSAT, time: 39.253813982
48-->0:UNSAT, time: 42.778275013
83-->0:SolFound, time: 6.82117819786
82-->0:UNSAT, time: 57.6464231014
52-->0:SolFound, time: 40.3420009613
26-->24:UNSAT, time: 127.266599178
28-->24:SolFound, time: 5.90431594849
25-->44:SolFound, time: 788.013051033
43-->44:SolFound, time: 928.846368074
70-->86:UNSAT, time: 3.12698197365
71-->86:UNSAT, time: 1.01938414574
73-->86:UNSAT, time: 0.986003160477
74-->86:UNSAT, time: 7.43929505348
87-->86:SolFound, time: 32.9722700119
25-->24:UNSAT, time: 593.708193064
71-->88:UNSAT, time: 2.19951486588
65-->30:UNSAT, time: 1.22361397743
65-->33:SolFound, time: 15.9785199165
41-->33:UNSAT, time: 8.29733586311
25-->27:SolFound, time: 459.165456057
70-->88:UNSAT, time: 138.451370955
40-->43:SolFound, time: 11.5323200226
42-->43:SolFound, time: 18.1075918674
74-->43:UNSAT, time: 12.1260559559
82-->83:UNSAT, time: 1.4218108654
82-->52:SolFound, time: 85.0418331623
51-->52:UNSAT, time: 95.1764740944
26-->27:SolFound, time: 344.606144905
73-->25:SolFound, time: 2.47327899933
70-->25:SolFound, time: 48.439426899
71-->87:UNSAT, time: 2.59430885315
26-->28:SolFound, time: 127.174852133
74-->25:SolFound, time: 138.117905855
41-->65:UNSAT, time: 149.0801301
74-->40:UNSAT, time: 101.075175047
50-->82:UNSAT, time: 1.10450792313
51-->82:UNSAT, time: 44.5638620853
71-->70:SolFound, time: 1.87454891205
81-->82:SolFound, time: 89.7065639496
8-->81:UNSAT, time: 1.0163230896
50-->81:UNSAT, time: 2.19037008286
51-->81:UNSAT, time: 1.08119511604
80-->81:SolFound, time: 68.6768989563
8-->80:UNSAT, time: 2.17044401169
7-->80:UNSAT, time: 209.040152073
41-->43:SolFound, time: 699.247308016
41-->42:SolFound, time: 432.607956886
50-->80:UNSAT, time: 2.06587004662
11-->80:SolFound, time: 80.1483030319
8-->11:UNSAT, time: 6.53446602821
7-->11:UNSAT, time: 191.347905159
79-->80:SolFound, time: 636.965404034
50-->11:UNSAT, time: 1.23911499977
10-->80:SolFound, time: 1188.01247287
10-->79:SolFound, time: 690.108747005
79-->11:UNSAT, time: 1150.44943404
6-->79:SolFound, time: 621.29281497
6-->10:SolFound, time: 320.453670979
7-->10:SolFound, time: 238.779130936
2-->6:SolFound, time: 155.964474916
3-->7:SolFound, time: 34.9931979179
8-->7:SolFound, time: 294.327032089
9-->7:UNSAT, time: 1.29794597626
10-->11:SolFound, time: 2271.11691785
2-->7:SolFound, time: 759.738242865
2-->10:SolFound, time: 1405.66745901
47-->7:UNSAT, time: 111.678575993
49-->7:UNSAT, time: 265.468772173
5-->2:UNSAT, time: 1.07066607475
9-->2:UNSAT, time: 10.2328908443
14-->2:UNSAT, time: 1.16759705544
47-->2:UNSAT, time: 38.2310290337
14-->7:UNSAT, time: 870.304837942
5-->3:SolFound, time: 5.71486902237
9-->3:SolFound, time: 10.8710010052
15-->7:UNSAT, time: 786.996737003
4-->2:SolFound, time: 414.76447916
14-->3:UNSAT, time: 187.487732887
47-->3:UNSAT, time: 11.3196032047
47-->8:UNSAT, time: 4.86576986313
48-->8:UNSAT, time: 62.310888052
50-->8:SolFound, time: 12.9086489677
4-->3:SolFound, time: 479.700077057
51-->8:UNSAT, time: 2.97331690788
14-->9:UNSAT, time: 18.4628870487
14-->5:UNSAT, time: 60.2145447731
49-->9:UNSAT, time: 15.9604301453
15-->9:UNSAT, time: 98.4609470367
15-->3:UNSAT, time: 539.392135143
49-->3:UNSAT, time: 484.052597046
17-->4:SolFound, time: 88.1475160122
47-->50:UNSAT, time: 87.8359971046
48-->50:UNSAT, time: 29.9440088272
51-->50:UNSAT, time: 4.12985801697
14-->4:UNSAT, time: 579.368438005
84-->17:UNSAT, time: 312.248201847
14-->17:UNSAT, time: 18.1798560619
18-->17:UNSAT, time: 689.953768015
47-->9:UNSAT, time: 1924.47682714
18-->4:UNSAT, time: 2668.39814186
43-->39:UNSAT, time: 19263.48453
20-->94:UNSAT, time: 24757.987576
43-->31:UNSAT, time: 24237.6438401
============ Time: 29887.157043 ============
